               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  42,              1.9042,              1.2278,              1.7109,             0.79757,             0.77429,             0.83379,             0.45042,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  43,              1.9129,               1.236,              1.7214,             0.79062,             0.76882,             0.83202,             0.45467,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  44,              1.8984,              1.2168,               1.701,             0.80434,              0.7806,             0.83666,             0.45514,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  45,              1.8865,               1.221,              1.7039,             0.80635,             0.76942,             0.83861,             0.46082,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  46,               1.899,              1.2168,              1.7008,             0.81328,              0.7703,              0.8438,             0.46368,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  47,              1.8974,               1.201,              1.6919,             0.81122,             0.76254,             0.83982,              0.4559,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  48,               1.867,              1.1986,              1.6861,             0.82131,             0.78272,             0.85236,             0.47542,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  49,              1.8664,              1.3155,              1.6788,              0.8009,             0.78053,             0.84406,             0.46831,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  50,              1.8649,                1.19,              1.6785,             0.80914,             0.77541,             0.84093,             0.46265,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  51,              1.8604,              1.1806,              1.6829,             0.81989,             0.77765,             0.84479,             0.46842,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  52,               1.851,              1.1681,               1.666,             0.78846,             0.78883,             0.83914,             0.46409,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  53,              1.8599,              1.1683,              1.6749,             0.79829,             0.79594,             0.85016,             0.47258,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  54,              1.8445,              1.1655,              1.6761,             0.81647,              0.7826,             0.85273,             0.47409,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  55,              1.8378,              1.1609,               1.658,             0.80575,             0.79201,             0.84571,             0.46161,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  56,              1.8351,               1.179,              1.6664,             0.80543,             0.77815,             0.84666,             0.46611,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  57,              1.8226,              1.1346,               1.661,             0.82338,             0.78775,             0.85507,             0.47404,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  58,              1.8335,              1.1531,              1.6553,             0.81651,             0.79076,             0.85466,             0.47378,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  59,              1.8474,              1.1598,              1.6562,             0.81746,             0.75903,             0.84215,             0.45765,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  60,              1.8286,              1.1457,              1.6569,             0.81365,             0.78941,             0.85684,             0.47956,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  61,               1.805,              1.1277,              1.6373,             0.81014,             0.78021,             0.84855,             0.46862,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  62,              1.8285,              1.1529,              1.6657,             0.82177,             0.78592,             0.85382,             0.48014,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  63,              1.8072,              1.1449,              1.6489,             0.83116,             0.77712,             0.85873,              0.4846,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  64,              1.8268,              1.1328,              1.6441,             0.83021,             0.78594,             0.86054,             0.48564,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  65,              1.8199,              1.1428,               1.637,             0.83732,             0.77871,             0.85804,             0.47802,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  66,              1.8018,               1.128,              1.6355,             0.83271,             0.78581,             0.85647,             0.48154,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  67,               1.801,              1.1318,              1.6384,             0.80094,             0.78677,             0.85436,             0.47933,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  68,              1.7984,              1.1231,              1.6445,              0.8273,             0.78268,             0.85408,             0.48471,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  69,              1.7865,              1.1072,              1.6312,             0.81458,              0.7847,             0.85278,             0.46924,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  70,              1.7819,              1.1052,              1.6128,             0.81259,             0.78825,             0.85187,             0.47913,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  71,              1.7726,              1.1049,              1.6138,             0.82712,              0.7954,             0.86684,             0.49089,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  72,              1.7662,              1.0948,              1.6216,             0.83345,              0.7794,             0.85727,             0.48281,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  73,              1.7766,              1.0834,              1.6243,             0.82328,             0.79321,             0.86102,             0.47902,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  74,              1.7849,              1.0912,              1.6183,             0.81229,             0.79842,             0.85656,              0.4778,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  75,              1.7837,              1.1024,              1.6275,             0.80896,             0.80074,             0.86032,             0.48646,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  76,              1.7751,              1.0975,              1.6169,             0.81004,             0.80472,             0.85961,             0.48246,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  77,              1.7537,              1.0717,              1.6099,              0.8461,             0.79086,             0.86989,             0.49369,                   0,                   0,                   0,                0.01,                0.01,                0.01
