               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  39,              1.9236,              1.2517,              1.7281,             0.78647,             0.77329,             0.82582,              0.4401,                   0,                   0,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,              1.9117,              1.2285,              1.7033,             0.79444,             0.77562,             0.84145,             0.46038,                   0,                   0,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,              1.9049,              1.2288,              1.6961,             0.82842,             0.77585,             0.85426,             0.47142,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  42,              1.8986,              1.2164,              1.6955,             0.80733,             0.78281,             0.84668,             0.46412,                   0,                   0,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,              1.8998,              1.2207,              1.7018,             0.80642,             0.77715,             0.84306,             0.46501,                   0,                   0,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,              1.8906,              1.2094,               1.683,             0.81626,             0.77877,             0.84909,             0.47481,                   0,                   0,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,               1.882,              1.2086,              1.6903,             0.79997,             0.78862,             0.84745,             0.46797,                   0,                   0,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,              1.8813,              1.1895,              1.6794,             0.83352,             0.76702,             0.84823,             0.47127,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  47,              1.8932,              1.1945,                1.68,             0.78385,             0.78349,             0.83354,             0.45184,                   0,                   0,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,              1.8543,              1.1827,              1.6684,             0.80439,             0.78587,             0.84798,              0.4666,                   0,                   0,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,              1.8489,               1.283,              1.6551,             0.80376,             0.78884,             0.84777,             0.46427,                   0,                   0,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,               1.849,              1.1818,              1.6564,             0.82346,             0.78442,             0.84919,              0.4718,                   0,                   0,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,              1.8489,              1.1609,               1.668,              0.8121,             0.77457,             0.84713,             0.46442,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  52,              1.8427,              1.1551,              1.6533,             0.80998,              0.7751,             0.84586,             0.46504,                   0,                   0,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,              1.8509,              1.1568,              1.6527,             0.81455,             0.78687,             0.85142,             0.47689,                   0,                   0,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,              1.8371,              1.1581,              1.6558,             0.82004,             0.77819,             0.85493,             0.48036,                   0,                   0,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,              1.8337,              1.1494,              1.6418,             0.80467,              0.7846,             0.84587,             0.46595,                   0,                   0,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,              1.8281,              1.1559,              1.6506,             0.81899,             0.78142,             0.85642,              0.4829,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  57,              1.8104,              1.1331,              1.6446,             0.81314,             0.78757,             0.85719,             0.47348,                   0,                   0,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,              1.8187,              1.1349,              1.6406,             0.80781,             0.78968,             0.85198,             0.46849,                   0,                   0,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,              1.8361,              1.1484,              1.6496,             0.81277,             0.78684,             0.85127,             0.47322,                   0,                   0,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,              1.8185,              1.1361,              1.6451,             0.81297,             0.80555,             0.85939,             0.48198,                   0,                   0,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,              1.7916,              1.1196,              1.6187,             0.81904,             0.78867,             0.85787,             0.48511,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  62,              1.8258,              1.1389,              1.6517,             0.83572,             0.78745,             0.86191,             0.48741,                   0,                   0,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,              1.7967,              1.1339,              1.6328,             0.81217,             0.79877,             0.86276,             0.48422,                   0,                   0,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,              1.8107,              1.1165,              1.6305,             0.82005,             0.80151,             0.86105,              0.4894,                   0,                   0,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,              1.8171,              1.1237,              1.6292,             0.82731,             0.79593,             0.85978,             0.48667,                   0,                   0,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,              1.7872,               1.106,              1.6192,             0.83295,             0.78996,             0.86098,             0.48493,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  67,              1.7886,              1.1139,              1.6195,              0.8121,             0.79148,             0.85413,             0.47486,                   0,                   0,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,              1.7857,              1.1136,              1.6268,             0.82689,             0.79736,             0.86713,             0.49158,                   0,                   0,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,              1.7668,              1.0833,              1.6108,             0.81656,             0.78592,              0.8596,             0.48654,                   0,                   0,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,              1.7691,              1.0889,              1.5972,             0.81102,             0.79881,             0.85479,             0.48701,                   0,                   0,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,              1.7619,              1.0852,              1.6039,             0.82567,             0.81372,             0.87029,             0.49606,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  72,              1.7531,              1.0708,              1.6032,             0.83038,             0.80256,             0.86844,              0.4922,                   0,                   0,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,              1.7619,              1.0627,              1.6012,             0.83676,             0.79417,             0.86713,             0.49005,                   0,                   0,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,              1.7696,              1.0732,               1.599,             0.81687,             0.80178,             0.85894,             0.48222,                   0,                   0,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,              1.7692,              1.0846,              1.6103,             0.82152,             0.79072,             0.85642,             0.48784,                   0,                   0,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,              1.7513,              1.0765,              1.5928,             0.82168,             0.79856,             0.86065,             0.48704,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  77,              1.7319,              1.0613,              1.5844,             0.81671,             0.80482,             0.86527,             0.49483,                   0,                   0,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,              1.7576,              1.0743,              1.5983,             0.82832,             0.80229,             0.86567,             0.49071,                   0,                   0,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,              1.7322,              1.0545,              1.5842,             0.83546,             0.79611,             0.86533,             0.48905,                   0,                   0,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,               1.727,               1.051,              1.5794,             0.81495,             0.80935,             0.85996,             0.48793,                   0,                   0,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,               1.725,              1.0567,              1.5875,             0.82234,             0.80188,             0.86146,             0.48898,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  82,              1.7155,              1.0539,              1.5796,             0.82353,             0.79511,             0.85953,             0.48821,                   0,                   0,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,              1.7305,              1.0556,              1.5799,             0.82673,             0.80246,              0.8683,             0.49775,                   0,                   0,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,              1.7248,              1.0569,               1.577,             0.82295,             0.79638,             0.86295,             0.49739,                   0,                   0,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,              1.7346,              1.0431,                1.58,             0.82945,             0.80219,             0.86327,             0.49375,                   0,                   0,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,               1.701,               1.034,              1.5714,             0.81933,             0.79685,             0.85761,             0.48551,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  87,              1.7141,              1.0379,              1.5734,             0.82434,             0.80418,             0.86353,             0.48973,                   0,                   0,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,              1.7072,              1.0287,              1.5652,             0.83873,             0.78311,             0.86277,              0.4957,                   0,                   0,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,              1.6997,              1.0392,              1.5754,             0.83831,             0.80141,             0.86528,             0.50072,                   0,                   0,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,              1.7084,              1.0311,              1.5688,             0.83928,             0.79845,             0.87016,             0.49919,                   0,                   0,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,               1.696,              1.0278,              1.5623,             0.83252,              0.8076,             0.86438,             0.49154,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  92,              1.7079,              1.0285,              1.5718,             0.81842,             0.79926,             0.85845,             0.48931,                   0,                   0,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,              1.6873,              1.0029,              1.5573,             0.83052,             0.80536,             0.86594,             0.49483,                   0,                   0,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,              1.6938,              1.0127,              1.5622,             0.83787,             0.80715,             0.87656,             0.50527,                   0,                   0,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,              1.6823,              1.0098,              1.5606,             0.83126,             0.81249,             0.86927,             0.49798,                   0,                   0,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,              1.6907,              1.0169,              1.5604,             0.80744,             0.81157,              0.8642,             0.48726,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  97,              1.6747,              0.9883,              1.5585,             0.83323,             0.80427,             0.86648,             0.49877,                   0,                   0,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,              1.6726,             0.99946,              1.5497,              0.8389,             0.79706,             0.86826,             0.49936,                   0,                   0,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,              1.6666,              1.0015,              1.5482,             0.83396,             0.81062,             0.87222,             0.50481,                   0,                   0,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,              1.6654,             0.99118,              1.5571,             0.84243,             0.80208,             0.87234,             0.50179,                   0,                   0,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,              1.6843,              1.0008,              1.5537,             0.82511,             0.81342,             0.87165,             0.49915,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                 102,              1.6725,              1.0057,              1.5503,             0.83431,             0.80595,             0.87139,             0.50465,                   0,                   0,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,              1.6774,                   1,              1.5444,             0.83889,             0.80646,             0.87363,             0.50508,                   0,                   0,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,               1.679,             0.99635,               1.548,             0.82409,              0.8098,             0.86982,             0.49919,                   0,                   0,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,              1.6629,             0.97755,              1.5485,              0.8335,             0.79564,             0.86916,             0.49914,                   0,                   0,                   0,           0.0079408,           0.0079408,           0.0079408
