               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  43,               1.519,             0.85938,               1.451,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0089613,           0.0089613,           0.0089613
                  44,              1.5174,             0.85973,              1.4406,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0089131,           0.0089131,           0.0089131
                  45,              1.5047,             0.86283,              1.4474,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008864,            0.008864,            0.008864
                  46,              1.5111,             0.85002,              1.4416,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008814,            0.008814,            0.008814
                  47,              1.5162,             0.84879,              1.4363,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008763,            0.008763,            0.008763
                  48,              1.4897,               0.835,              1.4301,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0087112,           0.0087112,           0.0087112
                  49,              1.4945,             0.90159,              1.4268,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0086584,           0.0086584,           0.0086584
                  50,              1.4828,             0.82258,              1.4211,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0086047,           0.0086047,           0.0086047
                  51,               1.491,             0.82546,              1.4319,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0085502,           0.0085502,           0.0085502
                  52,              1.4873,             0.82378,              1.4245,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084948,           0.0084948,           0.0084948
                  53,              1.4923,             0.82385,              1.4219,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084385,           0.0084385,           0.0084385
                  54,              1.4792,             0.83056,              1.4268,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083814,           0.0083814,           0.0083814
                  55,              1.4715,             0.81693,              1.4149,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083235,           0.0083235,           0.0083235
                  56,              1.4702,             0.83276,              1.4237,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082648,           0.0082648,           0.0082648
                  57,              1.4563,              0.8067,              1.4189,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082052,           0.0082052,           0.0082052
                  58,              1.4715,             0.81854,              1.4172,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008145,            0.008145,            0.008145
                  59,              1.4778,             0.81848,              1.4155,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0080839,           0.0080839,           0.0080839
                  60,              1.4644,             0.81464,              1.4155,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0080221,           0.0080221,           0.0080221
                  61,              1.4471,               0.805,              1.4018,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0079595,           0.0079595,           0.0079595
                  62,              1.4688,             0.82038,              1.4258,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0078963,           0.0078963,           0.0078963
                  63,              1.4511,             0.81356,              1.4197,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0078323,           0.0078323,           0.0078323
                  64,              1.4604,             0.80414,              1.4119,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0077677,           0.0077677,           0.0077677
                  65,              1.4652,             0.81019,               1.415,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0077023,           0.0077023,           0.0077023
                  66,              1.4272,             0.79135,              1.3962,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076364,           0.0076364,           0.0076364
                  67,              1.4409,             0.80129,              1.4077,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0075698,           0.0075698,           0.0075698
                  68,              1.4393,             0.79879,              1.4037,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0075025,           0.0075025,           0.0075025
                  69,              1.4282,             0.78398,              1.4004,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0074347,           0.0074347,           0.0074347
                  70,              1.4174,             0.77976,              1.3865,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0073663,           0.0073663,           0.0073663
                  71,              1.4215,             0.78043,              1.3874,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072973,           0.0072973,           0.0072973
                  72,               1.411,             0.78475,              1.3928,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072277,           0.0072277,           0.0072277
                  73,              1.4206,              0.7667,              1.3938,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071576,           0.0071576,           0.0071576
                  74,              1.4217,             0.77349,              1.3908,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007087,            0.007087,            0.007087
                  75,              1.4141,              0.7782,              1.3928,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0070159,           0.0070159,           0.0070159
                  76,              1.4055,             0.77389,              1.3799,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0069443,           0.0069443,           0.0069443
