               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  39,              1.9308,              1.2592,              1.7363,             0.78182,             0.77481,             0.82525,              0.4312,                   0,                   0,                   0,           0.0098596,           0.0098596,           0.0098596
                  40,               1.922,              1.2291,              1.7113,             0.81119,             0.76132,             0.84512,             0.45839,                   0,                   0,                   0,           0.0098521,           0.0098521,           0.0098521
                  41,               1.913,              1.2351,               1.706,             0.80419,             0.76916,             0.83804,             0.45349,                   0,                   0,                   0,           0.0098445,           0.0098445,           0.0098445
                  42,              1.9046,              1.2212,              1.7027,             0.81225,             0.77433,             0.84163,             0.46407,                   0,                   0,                   0,           0.0098367,           0.0098367,           0.0098367
                  43,              1.9123,              1.2324,              1.7105,             0.78538,             0.78575,             0.84643,             0.46511,                   0,                   0,                   0,           0.0098286,           0.0098286,           0.0098286
                  44,              1.9006,               1.219,              1.6876,             0.80957,             0.76852,             0.83866,              0.4587,                   0,                   0,                   0,           0.0098204,           0.0098204,           0.0098204
                  45,               1.894,              1.2226,              1.6999,             0.81036,             0.76808,             0.84223,             0.46795,                   0,                   0,                   0,            0.009812,            0.009812,            0.009812
                  46,              1.8917,               1.212,               1.689,             0.81509,             0.77873,             0.84886,             0.47427,                   0,                   0,                   0,           0.0098035,           0.0098035,           0.0098035
                  47,              1.8955,              1.2001,              1.6825,             0.80803,             0.76812,             0.83712,             0.45979,                   0,                   0,                   0,           0.0097947,           0.0097947,           0.0097947
                  48,              1.8618,              1.1935,              1.6712,             0.82445,             0.76457,             0.85216,             0.47433,                   0,                   0,                   0,           0.0097857,           0.0097857,           0.0097857
                  49,              1.8657,              1.2839,              1.6652,             0.79985,             0.77436,             0.84134,             0.46007,                   0,                   0,                   0,           0.0097766,           0.0097766,           0.0097766
                  50,              1.8627,              1.1854,              1.6674,             0.82752,             0.76067,             0.84715,             0.47177,                   0,                   0,                   0,           0.0097672,           0.0097672,           0.0097672
